task,data,pandas_time,polars_time
load,1_000.csv,0.004071101546287537,0.0027836021035909653
load,10_000.csv,0.014012625440955162,0.0019255634397268295
load,100_000.csv,0.11879434064030647,0.011326784268021584
load,1_000_000.csv,1.1387580838054419,0.10038946755230427
load,10_000_000.csv,11.372181363403797,1.1272374633699656
load,100_000_000.csv,110.16913504712284,9.394474105909467
get_shape,1_000.csv,2.130866050720215e-05,1.5560537576675415e-05
get_shape,10_000.csv,1.7683953046798706e-05,5.561858415603638e-06
get_shape,100_000.csv,2.1519139409065247e-05,5.360692739486694e-06
get_shape,1_000_000.csv,1.4696270227432251e-05,3.7364661693573e-06
get_shape,10_000_000.csv,1.611188054084778e-05,4.639849066734314e-06
get_shape,100_000_000.csv,1.5659257769584656e-05,5.088746547698975e-06
describe,1_000.csv,0.0098358653485775,0.010813141241669655
describe,10_000.csv,0.00808006152510643,0.011673806235194206
describe,100_000.csv,0.018337760120630264,0.016196511685848236
describe,1_000_000.csv,0.11101722717285156,0.07587465643882751
describe,10_000_000.csv,1.0444583464413881,0.633219612762332
describe,100_000_000.csv,10.714182332158089,6.078846525400877
get_unique_values,1_000.csv,0.001575428992509842,0.0005335602909326553
get_unique_values,10_000.csv,0.006521338596940041,0.0012167524546384811
get_unique_values,100_000.csv,0.028962023556232452,0.006391914561390877
get_unique_values,1_000_000.csv,0.30703466571867466,0.09295493364334106
get_unique_values,10_000_000.csv,3.9373412150889635,1.0944869723170996
get_unique_values,100_000_000.csv,47.500042125582695,13.905630385503173
value_count,1_000.csv,0.0036159735172986984,0.001732541248202324
value_count,10_000.csv,0.011422093957662582,0.004309296607971191
value_count,100_000.csv,0.050162266939878464,0.03590871021151543
value_count,1_000_000.csv,0.4997002147138119,0.4081662558019161
value_count,10_000_000.csv,5.822352657094598,4.63544231839478
value_count,100_000_000.csv,59.89956631138921,51.62286347709596
check_isnull,1_000.csv,0.0014849454164505005,2.0328909158706665e-05
check_isnull,10_000.csv,0.007218003273010254,1.7352402210235596e-05
check_isnull,100_000.csv,0.06858626753091812,2.039968967437744e-05
check_isnull,1_000_000.csv,0.6476560644805431,2.0829960703849792e-05
check_isnull,10_000_000.csv,6.182210372760892,2.4838373064994812e-05
check_isnull,100_000_000.csv,60.70417311415076,2.4335458874702454e-05
sort_by_int_column,1_000.csv,0.001170516014099121,0.000706896185874939
sort_by_int_column,10_000.csv,0.0019820090383291245,0.004826163873076439
sort_by_int_column,100_000.csv,0.018428100273013115,0.009319217875599861
sort_by_int_column,1_000_000.csv,0.3897312320768833,0.15315665863454342
sort_by_int_column,10_000_000.csv,7.7166478000581264,1.6607140991836786
sort_by_int_column,100_000_000.csv,91.9622722119093,19.24445674009621
sort_by_column_union,1_000.csv,0.0031725335866212845,0.002114279195666313
sort_by_column_union,10_000.csv,0.005615485832095146,0.004487220197916031
sort_by_column_union,100_000.csv,0.03568689338862896,0.010130511596798897
sort_by_column_union,1_000_000.csv,0.5136503484100103,0.19024990499019623
sort_by_column_union,10_000_000.csv,8.332975767552853,2.404314687475562
sort_by_column_union,100_000_000.csv,89.83484646119177,31.19659219123423
sort_datetime_column,1_000.csv,0.04501047916710377,0.0003326442092657089
sort_datetime_column,10_000.csv,0.3635235633701086,0.0012004226446151733
sort_datetime_column,100_000.csv,1.4595319591462612,0.010698113590478897
sort_datetime_column,1_000_000.csv,6.2454118970781565,0.07734723947942257
sort_datetime_column,10_000_000.csv,60.33861599676311,0.7458268273621798
sort_datetime_column,100_000_000.csv,530.9919356908649,8.526300340890884
logical_select,1_000.csv,0.0007618069648742676,0.0006013866513967514
logical_select,10_000.csv,0.0008338037878274918,0.0009707994759082794
logical_select,100_000.csv,0.005001988261938095,0.0033969637006521225
logical_select,1_000_000.csv,0.05601589009165764,0.049948664382100105
logical_select,10_000_000.csv,0.49441163800656796,0.5021236799657345
logical_select,100_000_000.csv,5.030738431960344,4.578696688637137
groupby_price_stats,1_000.csv,0.003278052434325218,0.005848536267876625
groupby_price_stats,10_000.csv,0.0034235939383506775,0.0028004348278045654
groupby_price_stats,100_000.csv,0.018256235867738724,0.007725028321146965
groupby_price_stats,1_000_000.csv,0.15950953215360641,0.020403243601322174
groupby_price_stats,10_000_000.csv,1.5975032653659582,0.24359556287527084
groupby_price_stats,100_000_000.csv,15.61280582845211,2.7758405096828938
